feature,importance_gain,importance_split
target_mean_route_hour_dow,15343332.011129856,10155
target_mean_route_hour,2136057.688906312,8479
route_id,1851708.0703008175,48755
month,820152.7010592222,6895
target_mean_route_dow,781110.5934689045,4583
day,249520.82174181938,13035
hour_slot,98984.08667099476,6434
hour,91592.17057418823,6675
target_mean_global_hour,81493.04909598827,8909
target_mean_route,40103.271872878075,2954
dayofweek,35618.69408619404,3592
target_mean_global_dow,28983.94142985344,2552
is_month_end,2548.2124021053314,371
is_month_start,2395.3419330120087,216
minute,1692.204703450203,280
is_weekend,1215.909961938858,115
